#V3.30
#C North Sea/Skagerrak/Eastern Channel Cod
#
26 #_styr
100 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
25 #_Nages
1 #_N_areas
2 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1	1	1	1	Fishery	#_1
3	 1	1	2	0	Survey 	#_2
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	        0	 0.01	#_1         
    1	1	1	        0	 0.01	#_2         
    2	1	1	        0	 0.01	#_3         
    3	1	1	        0	 0.01	#_4         
    4	1	1	        0	 0.01	#_5         
    5	1	1	        0	 0.01	#_6         
    6	1	1	        0	 0.01	#_7         
    7	1	1	        0	 0.01	#_8         
    8	1	1	        0	 0.01	#_9         
    9	1	1	        0	 0.01	#_10        
   10	1	1	        0	 0.01	#_11        
   11	1	1	        0	 0.01	#_12        
   12	1	1	        0	 0.01	#_13        
   13	1	1	        0	 0.01	#_14        
   14	1	1	        0	 0.01	#_15        
   15	1	1	        0	 0.01	#_16        
   16	1	1	        0	 0.01	#_17        
   17	1	1	        0	 0.01	#_18        
   18	1	1	        0	 0.01	#_19        
   19	1	1	        0	 0.01	#_20        
   20	1	1	        0	 0.01	#_21        
   21	1	1	        0	 0.01	#_22        
   22	1	1	        0	 0.01	#_23        
   23	1	1	        0	 0.01	#_24        
   24	1	1	        0	 0.01	#_25        
   25	1	1	        0	 0.01	#_26        
   26	1	1	514320000	0.005	#_27        
   27	1	1	471889000	0.005	#_28        
   28	1	1	445386000	0.005	#_29        
   29	1	1	412941000	0.005	#_30        
   30	1	1	384205000	0.005	#_31        
   31	1	1	354218000	0.005	#_32        
   32	1	1	333455000	0.005	#_33        
   33	1	1	308204000	0.005	#_34        
   34	1	1	291964000	0.005	#_35        
   35	1	1	277023000	0.005	#_36        
   36	1	1	261028000	0.005	#_37        
   37	1	1	243271000	0.005	#_38        
   38	1	1	219908000	0.005	#_39        
   39	1	1	204173000	0.005	#_40        
   40	1	1	192455000	0.005	#_41        
   41	1	1	189213000	0.005	#_42        
   42	1	1	183324000	0.005	#_43        
   43	1	1	182086000	0.005	#_44        
   44	1	1	194529000	0.005	#_45        
   45	1	1	205393000	0.005	#_46        
   46	1	1	210474000	0.005	#_47        
   47	1	1	211345000	0.005	#_48        
   48	1	1	210350000	0.005	#_49        
   49	1	1	212606000	0.005	#_50        
   50	1	1	208296000	0.005	#_51        
   51	1	1	201052000	0.005	#_52        
   52	1	1	190640000	0.005	#_53        
   53	1	1	182088000	0.005	#_54        
   54	1	1	175786000	0.005	#_55        
   55	1	1	175792000	0.005	#_56        
   56	1	1	172529000	0.005	#_57        
   57	1	1	170528000	0.005	#_58        
   58	1	1	170798000	0.005	#_59        
   59	1	1	173939000	0.005	#_60        
   60	1	1	176047000	0.005	#_61        
   61	1	1	175711000	0.005	#_62        
   62	1	1	173392000	0.005	#_63        
